File Number,Date,Source,Allegation,Status,Finding,Case Status
23-0027,03/13/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0258,12/06/2023,Internal,Conduct Unbecoming,Active,,Trial Board
22-0226,12/31/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0058,03/30/2023,External,Conformance to Law,Completed,Declined,Closed
23-0007,01/20/2023,External,Conformance to Law,Completed,Declined,Closed
23-0185,09/13/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
24-0222,11/08/2024,External,,Completed,,Closed
22-0161,09/12/2022,External,Conformance to Law,Completed,Declined,Closed
23-0273,12/21/2023,Internal,Conduct Unbecoming,Active,,Trial Board
23-0008,01/20/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,Corrective Action Taken-Intake
22-0175,09/30/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
24-0197,10/02/2024,External,,Completed,,Closed
22-0137,07/22/2022,External,Conformance to Law,Completed,Declined,Closed
22-0204,11/18/2022,External,Conformance to Law,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0018,02/28/2023,External,Conformance to Law,Completed,Administrative Closure,Closed
23-0060,04/04/2023,External,,Completed,,Closed
24-0203,10/09/2024,External,Courtesy,Completed,Declined,Closed
23-0053,03/28/2023,External,,Completed,,Closed
22-0169,09/15/2022,Internal,Courtesy,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0273,12/21/2023,Internal,Conformance to Law,Active,,Trial Board
24-0213,10/24/2024,External,,Completed,,Closed
23-0062,04/04/2023,External,Courtesy,Completed,Declined,Closed
23-0031,03/16/2023,External,,Completed,,Closed
22-0137,07/22/2022,External,Use of Force,Completed,Declined,Closed
22-0215,11/28/2022,Internal,Conformance to Law,Completed,Declined,Closed
22-0203,11/17/2022,External,Courtesy,Completed,Declined,Closed
23-0273,12/21/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Active,,Trial Board
23-0003,01/12/2023,Internal,Conformance to Law,Active,,Investigation
22-0127,07/19/2022,External,Conformance to Law,Completed,Declined,Closed
22-0131,07/19/2022,External,Conformance to Law,Completed,No Corrective Action Tak,Closed
23-0073,04/24/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
24-0208,10/22/2024,External,Conformance to Law,Completed,Declined,Closed
22-0221,12/19/2022,Internal,Conduct Unbecoming,Completed,Administrative Closure,Closed
22-0135,07/20/2022,,,Completed,,Closed
23-0258,12/06/2023,Internal,Conformance to Law,Active,,Trial Board
24-0018,01/31/2024,External,,Completed,,Closed
23-0023,03/07/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
22-0172,09/29/2022,External,Courtesy,Completed,Declined,Closed
24-0080,05/03/2024,External,,Completed,,Closed
25-0008,01/17/2025,External,,Completed,,Closed
23-0034,03/17/2023,External,,Completed,,Closed
23-0055,03/28/2023,External,,Completed,,Closed
22-0222,12/19/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
23-0098,06/08/2023,External,Conformance to Law,Completed,Declined,Closed
22-0173,09/30/2022,External,Conformance to Law,Completed,Declined,Closed
25-0015,01/29/2025,External,Use of Force,Active,,Investigation
23-0099,06/08/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
22-0171,09/29/2022,External,Courtesy,Completed,No Corrective Action Tak,Closed
25-0015,01/29/2025,External,Conformance to Law,Active,,Investigation
22-0196,11/07/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
24-0260,01/29/2025,External,Conformance to Law,Active,,Investigation
25-0012,01/22/2025,External,Conformance to Law,Active,,Investigation
22-0128,07/19/2022,External,Conduct Unbecoming,Completed,Declined,Closed
22-0133,07/20/2022,External,Conformance to Law,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0049,03/27/2023,External,Conformance to Law,Completed,Declined,Closed
23-0094,05/16/2023,Internal,Conformance to Law,Active,,Investigation
23-0059,03/30/2023,External,,Completed,,Closed
23-0094,05/16/2023,Internal,Reporting Requirements,Active,,Investigation
22-0125,07/12/2022,External,,Completed,,Closed
23-0050,03/27/2023,External,,Completed,,Closed
22-0221,12/19/2022,Internal,Abuse of Authority,Completed,Administrative Closure,Closed
24-0035,03/13/2024,Internal,Punctuality,Completed,Unfounded,Closed
22-0122,07/05/2022,External,,Completed,,Closed
24-0261,01/29/2025,External,Conformance to Law,Active,,Investigation
22-0192,10/27/2022,External,Courtesy,Completed,Declined,Closed
23-0056,03/28/2023,External,,Completed,,Closed
23-0018,02/28/2023,External,Conduct Unbecoming,Completed,Unfounded,Closed
22-0189,10/26/2022,External,,Completed,,Closed
22-0204,11/18/2022,External,Conformance to Law,Completed,No Corrective Action Tak,Corrective Action Taken-Intake
22-0153,08/22/2022,External,Conformance to Law,Completed,Declined,Closed
23-0033,03/17/2023,External,,Completed,,Closed
23-0046,03/27/2023,External,Discrim/Harassment/Use of Derogatory Language,Completed,Declined,Closed
22-0185,10/21/2022,External,Conformance to Law,Completed,Declined,Closed
22-0187,10/24/2022,External,Conduct Unbecoming,Completed,Declined,Closed
23-0073,04/24/2023,External,Conformance to Law,Completed,No Corrective Action Tak,Closed
22-0197,11/08/2022,Internal,Conformance to Law,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0003,01/12/2023,Internal,Discrim/Harassment/Use of Derogatory Language,Active,,Investigation
23-0018,02/28/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,Closed
22-0200,11/16/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0061,04/04/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
22-0204,11/18/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Corrective Action Taken-Intake
23-0100,06/08/2023,External,Conformance to Law,Completed,Declined,Closed
24-0214,10/24/2024,External,Conformance to Law,Completed,Declined,Closed
21-0144,08/16/2021,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,Ultimate Discipline
22-0069,04/28/2022,External,Use of Force,Completed,Sustained,Ultimate Discipline
21-0177,09/29/2021,External,Conduct Unbecoming,Completed,Sustained,
21-0176,09/29/2021,External,Conformance to Law,Completed,Sustained,Ultimate Discipline
21-0050,03/29/2021,Internal,Conduct Unbecoming,Completed,Sustained,Ultimate Discipline
22-0056,03/29/2022,Internal,Conformance to Law,Completed,Exonerated,Closed
24-0228,11/18/2024,External,Discrim/Harassment/Use of Derogatory Language,Active,,Investigation
23-0242,11/14/2023,Internal,Conformance to Law,Completed,Administrative Closure,Closed
23-0018,02/28/2023,External,Abuse of Process,Completed,Administrative Closure,Closed
24-0224,11/13/2024,External,Discrim/Harassment/Use of Derogatory Language,Active,,Investigation
23-0105,07/10/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,Closed
24-0199,10/03/2024,External,Courtesy,Completed,Corrective Action Taken,Corrective Action Taken - Intake
24-0187,09/23/2024,External,Courtesy,Completed,Corrective Action Taken,Corrective Action Taken - Intake
23-0105,07/10/2023,Internal,Discrim/Harassment/Use of Derogatory Language,Completed,Unfounded,Closed
24-0053,04/22/2024,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
24-0228,11/18/2024,External,Conformance to Law,Active,,Investigation
23-0241,11/13/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,Closed
23-0152,08/16/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Insufficent Evidence,Closed
23-0105,07/10/2023,Internal,Conformance to Law,Completed,Unfounded,Closed
24-0219,11/04/2024,,Conformance to Law,Completed,Declined,Closed
23-0152,08/16/2023,External,Conformance to Law,Completed,Insufficent Evidence,Closed
23-0015,02/15/2023,Internal,Conduct Unbecoming,Completed,Administrative Closure,Ultimate Discipline
24-0227,11/18/2024,External,Courtesy,Completed,Declined,Closed
23-0015,02/15/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,Ultimate Discipline
23-0015,02/15/2023,Internal,Use of Force,Completed,Sustained,Ultimate Discipline
22-0049,03/02/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
24-0218,11/04/2024,External,,Completed,,Closed
24-0185,09/16/2024,External,Courtesy,Active,,Investigation
24-0120,06/27/2024,External,Conformance to Law,Active,,Investigation
24-0120,06/27/2024,External,Conduct Unbecoming,Active,,Investigation
23-0138,08/03/2023,Internal,Punctuality,Active,Administrative Closure,Appeal
23-0197,09/14/2023,External,Courtesy,Completed,Exonerated,Closed
23-0212,10/09/2023,External,Conformance to Law,Completed,Exonerated,Closed
23-0138,08/03/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Active,,Appeal
23-0209,10/09/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,Closed
24-0118,06/18/2024,Internal,,Completed,,Closed
23-0138,08/03/2023,Internal,Compliance with Orders,Active,,Appeal
24-0188,09/23/2024,External,Property,Active,,Investigation
24-0188,09/23/2024,External,Conformance to Law,Active,,Investigation
21-0216,12/07/2021,Internal,Maintenance of Property,Completed,Sustained,
22-0134,07/20/2022,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,Investigation
24-0209,10/22/2024,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
21-0215,12/07/2021,External,Conduct Unbecoming,Completed,Sustained,
22-0134,07/20/2022,Internal,Conformance to Law,Completed,Exonerated,Investigation
19-0086,05/17/2019,External,Conformance to Law,Completed,Sustained,
23-0104,07/10/2023,External,,Completed,,Closed
24-0230,11/19/2024,Internal,Conduct Unbecoming,Active,,Investigation
19-0086,05/17/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
23-0009,01/24/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
23-0065,04/12/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
19-0086,05/17/2019,External,Conduct Unbecoming,Completed,Sustained,
24-0230,11/19/2024,Internal,Conformance to Law,Active,,Investigation
22-0134,07/20/2022,Internal,Untruthful Statements,Completed,Exonerated,Investigation
23-0109,07/13/2023,Internal,Att to Duty/Use Alch-Drugs,Active,,Investigation
23-0103,07/07/2023,External,,Completed,,Closed
23-0109,07/13/2023,Internal,Conformance to Law,Active,,Investigation
23-0109,07/13/2023,Internal,Maintenance of Property,Active,,Investigation
21-0210,11/09/2021,External,Use of Force,Completed,Exonerated,
23-0121,07/26/2023,External,Discrim/Harassment/Use of Derogatory Language,Completed,Unfounded,Closed
23-0176,09/11/2023,External,Discrim/Harassment/Use of Derogatory Language,Completed,Exonerated,Closed
24-0223,11/12/2024,External,Discrim/Harassment/Use of Derogatory Language,Active,,Investigation
24-0230,11/19/2024,Internal,Untruthful Statements,Active,,Investigation
24-0053,04/22/2024,External,Courtesy,Completed,Corrective Action Taken,
23-0176,09/11/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,Closed
23-0121,07/26/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,Closed
23-0039,03/21/2023,Internal,Conformance to Law,Completed,Administrative Closure,Investigation
24-0205,10/15/2024,External,Abuse of Authority,Completed,Declined,Closed
23-0039,03/21/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,Investigation
24-0006,01/24/2024,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0116,07/25/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0117,07/25/2023,External,Discrim/Harassment/Use of Derogatory Language,Completed,Declined,Closed
23-0127,07/27/2023,External,Courtesy,Completed,Declined,Closed
23-0127,07/27/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0112,07/24/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0116,07/25/2023,External,Conformance to Law,Completed,Declined,Closed
23-0128,07/27/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0131,07/27/2023,External,,Completed,,Closed
23-0129,07/27/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0118,07/25/2023,External,Use of Force,Completed,Declined,Closed
23-0123,07/26/2023,External,Conformance to Law,Completed,Declined,Closed
23-0122,07/26/2023,External,,Completed,,Closed
23-0123,07/26/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0120,07/25/2023,External,Abuse of Process,Completed,Declined,Closed
24-0220,11/07/2024,External,,Completed,,Closed
23-0118,07/25/2023,External,Conduct Unbecoming,Completed,Declined,Closed
23-0115,07/25/2023,External,Conformance to Law,Completed,Declined,Closed
23-0117,07/25/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0129,07/27/2023,External,Discrim/Harassment/Use of Derogatory Language,Completed,Declined,Closed
23-0120,07/25/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
24-0232,11/21/2024,External,,Completed,,Closed
23-0111,07/24/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0117,07/25/2023,External,Conduct Unbecoming,Completed,Declined,Closed
24-0225,11/15/2024,External,Conformance to Law,Active,,Investigation
23-0118,07/25/2023,External,Conformance to Law,Completed,Declined,Closed
23-0120,07/25/2023,External,Conformance to Law,Completed,Declined,Closed
23-0125,07/26/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0129,07/27/2023,External,Conformance to Law,Completed,Declined,Closed
23-0111,07/24/2023,External,Conformance to Law,Completed,Declined,Closed
23-0130,07/27/2023,External,,Completed,,Closed
23-0118,07/25/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0112,07/24/2023,External,Conformance to Law,Completed,Declined,Closed
23-0128,07/27/2023,External,Conformance to Law,Completed,Declined,Closed
23-0115,07/25/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0264,12/07/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,Charging
23-0089,05/08/2023,External,Use of Force,Completed,Declined,
23-0264,12/07/2023,External,Use of Force,Completed,Unfounded,Charging
23-0132,07/27/2023,External,,Completed,,Closed
24-0044,04/12/2024,Internal,Conformance to Law,Forwarded,,Charging
23-0089,05/08/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
23-0250,11/20/2023,External,Conformance to Law,Completed,Unfounded,Closed
23-0089,05/08/2023,External,Conformance to Law,Completed,Declined,
23-0092,05/15/2023,External,Conformance to Law,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0193,09/13/2023,External,,Completed,,Closed
23-0093,05/15/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0093,05/15/2023,External,Conformance to Law,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0140,08/04/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
22-0182,10/11/2022,External,Conformance to Law,Completed,No Corrective Action Tak,Closed
22-0182,10/11/2022,External,Courtesy,Completed,No Corrective Action Tak,Closed
23-0092,05/15/2023,External,Maintenance of Property,Completed,Corrective Action Taken,Corrective Action Taken-Intake
24-0078,05/03/2024,External,Conduct Unbecoming,Completed,Declined,Closed
24-0058,04/29/2024,External,,Completed,,Closed
24-0104,06/05/2024,External,Conformance to Law,Active,,Investigation
24-0234,12/04/2024,External,Courtesy,Active,,Investigation
24-0070,05/02/2024,External,Conformance to Law,Active,,Investigation
24-0100,06/04/2024,External,Courtesy,Active,,Investigation
24-0234,12/04/2024,External,Conformance to Law,Active,,Investigation
24-0099,06/04/2024,External,Conformance to Law,Active,,Investigation
24-0076,05/03/2024,External,,Completed,,Closed
24-0102,06/05/2024,External,Conformance to Law,Active,,Investigation
24-0081,05/03/2024,External,,Completed,,Closed
24-0099,06/04/2024,External,Conduct Unbecoming,Active,,Investigation
24-0099,06/04/2024,External,Discrim/Harassment/Use of Derogatory Language,Active,,Investigation
24-0104,06/05/2024,External,,Active,,Investigation
24-0101,06/04/2024,External,Courtesy,Active,,Investigation
24-0079,05/03/2024,External,Abuse of Authority,Completed,Declined,Closed
24-0098,05/29/2024,External,Use of Force,Active,,Investigation
24-0092,05/17/2024,External,,Completed,,Closed
24-0087,05/16/2024,External,Courtesy,Completed,Declined,Closed
24-0088,05/16/2024,External,,Completed,,Closed
24-0066,05/01/2024,External,Secondary Employment,Completed,Declined,Closed
24-0096,05/29/2024,External,,Completed,,Closed
24-0082,05/03/2024,External,,Active,,Investigation
23-0136,08/02/2023,External,Conduct Unbecoming,Completed,Unfounded,Closed
24-0107,06/10/2024,External,,Completed,,Closed
24-0108,06/10/2024,Internal,Conformance to Law,Active,,Investigation
24-0105,06/05/2024,Internal,Conduct Unbecoming,Active,,Investigation
24-0041,04/04/2024,,,Completed,,Closed
24-0095,05/23/2024,External,,Completed,,Closed
24-0084,05/13/2024,External,Neglect of Duty/Unsatisfactory Performance,Active,,Investigation
24-0109,06/10/2024,Internal,Conformance to Law,Active,,Investigation
24-0097,05/29/2024,External,,Completed,,Closed
24-0073,05/02/2024,External,,Completed,,Closed
24-0091,05/16/2024,External,,Completed,,Closed
24-0067,05/01/2024,External,Rule 22 - Courtesy,Completed,Declined,Closed
24-0069,05/02/2024,External,,Completed,,Closed
24-0106,06/05/2024,Internal,Conformance to Law,Active,,Investigation
24-0066,05/01/2024,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
24-0105,06/05/2024,Internal,Discrim/Harassment/Use of Derogatory Language,Active,,Investigation
24-0109,06/10/2024,Internal,Conduct Unbecoming,Active,,Investigation
24-0077,05/03/2024,External,Maintenance of Property,Completed,Declined,Closed
23-0144,08/11/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0146,08/11/2023,External,,Completed,,Closed
23-0147,08/11/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0145,08/11/2023,External,Conformance to Law,Completed,Declined,Closed
23-0149,08/15/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0148,08/11/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0078,05/03/2023,Internal,Conduct Unbecoming,Completed,Administrative Closure,Closed
22-0194,11/07/2022,External,Conformance to Law,Completed,Exonerated,Closed
22-0138,08/04/2022,Internal,Use of Force,Completed,Administrative Closure,Closed
23-0076,04/26/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
23-0108,07/13/2023,External,Conformance to Law,Completed,No Corrective Action Tak,Closed
23-0079,05/03/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,Closed
21-0228,12/21/2021,External,Conduct Unbecoming,Completed,Sustained,Ultimate Discipline
23-0102,07/06/2023,External,Conduct Unbecoming,Completed,Corrective Action Taken,Closed
23-0139,08/03/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
21-0228,12/21/2021,External,Conformance to Law,Completed,Sustained,Ultimate Discipline
23-0139,08/03/2023,External,Conformance to Law,Completed,No Corrective Action Tak,Closed
23-0102,07/06/2023,External,Conformance to Law,Completed,Corrective Action Taken,Closed
22-0139,08/04/2022,Internal,Conduct Unbecoming,Completed,Unfounded,Closed
22-0069,04/28/2022,External,Use of Force,Completed,Exonerated,Ultimate Discipline
22-0069,04/28/2022,External,Conduct Unbecoming,Completed,Exonerated,Ultimate Discipline
22-0138,08/04/2022,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,Closed
22-0139,08/04/2022,Internal,Conformance to Law,Completed,Unfounded,Closed
22-0069,04/28/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,Ultimate Discipline
23-0036,03/21/2023,External,Conformance to Law,Completed,Administrative Closure,Closed
22-0139,08/04/2022,Internal,Discrim/Harassment/Use of Derogatory Language,Completed,Unfounded,Closed
23-0036,03/21/2023,External,Conduct Unbecoming,Completed,Administrative Closure,Closed
23-0036,03/21/2023,External,Abuse of Authority,Completed,Administrative Closure,Closed
22-0138,08/04/2022,Internal,Conformance to Law,Completed,Administrative Closure,Closed
22-0139,08/04/2022,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,Closed
23-0108,07/13/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
22-0194,11/07/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,Closed
22-0194,11/07/2022,External,Use of Force,Completed,Exonerated,Closed
23-0067,04/19/2023,Internal,Att to Duty/Use Alch-Drugs,Completed,Administrative Closure,Closed
23-0067,04/19/2023,Internal,Property,Completed,Administrative Closure,Closed
22-0201,11/16/2022,External,Conformance to Law,Completed,Declined,Closed
23-0067,04/19/2023,Internal,Abuse of Process,Completed,Administrative Closure,Closed
23-0067,04/19/2023,Internal,Conduct Unbecoming,Completed,Administrative Closure,Closed
22-0201,11/16/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0067,04/19/2023,Internal,Conformance to Law,Completed,Administrative Closure,Closed
23-0067,04/19/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,Closed
21-0141,08/03/2021,External,Courtesy,Completed,Sustained,Ultimate Discipline
21-0141,08/03/2021,External,Conformance to Law,Completed,Exonerated,Ultimate Discipline
23-0158,09/01/2023,External,,Completed,,Closed
21-0141,08/03/2021,External,Use of Force,Completed,Exonerated,Ultimate Discipline
23-0157,09/01/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
21-0141,08/03/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,Ultimate Discipline
23-0170,09/07/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0161,09/05/2023,External,,Completed,,Closed
23-0162,09/06/2023,External,Discrim/Harassment/Use of Derogatory Language,Completed,Declined,Closed
23-0078,05/03/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,Closed
23-0079,05/03/2023,Internal,Property,Completed,Sustained,Closed
23-0079,05/03/2023,Internal,Conformance to Law,Completed,Sustained,Closed
24-0017,01/30/2024,Internal,Discrim/Harassment/Use of Derogatory Language,Active,,Charging
23-0079,05/03/2023,Internal,Conformance to Law,Completed,Administrative Closure,Closed
23-0142,08/08/2023,Internal,Courtesy,Active,,Trial Board
23-0281,01/11/2024,External,,Completed,,Closed
23-0079,05/03/2023,Internal,Maintenance of Property,Completed,Administrative Closure,Closed
23-0273,12/21/2023,Internal,Untruthful Statements,Active,,Trial Board
22-0044,02/28/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
24-0093,05/20/2024,Internal,Conduct Unbecoming,Completed,Administrative Closure,Closed
23-0163,09/06/2023,External,Conformance to Law,Active,,Trial Board
23-0079,05/03/2023,Internal,Property,Completed,Administrative Closure,Closed
23-0220,10/19/2023,External,Conformance to Law,Active,Unfounded,Trial Board
24-0024,02/07/2024,Internal,Conduct Unbecoming,Completed,Sustained,Closed
23-0078,05/03/2023,Internal,Conformance to Law,Completed,Administrative Closure,Closed
23-0124,07/26/2023,,,Completed,,
23-0079,05/03/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,Closed
23-0126,07/27/2023,External,,Completed,,Closed
23-0078,05/03/2023,Internal,Maintenance of Property,Completed,Administrative Closure,Closed
24-0121,06/27/2024,External,Conduct Unbecoming,Active,,Investigation
23-0205,09/22/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0216,10/12/2023,Internal,Conformance to Law,Active,,Charging
23-0159,09/01/2023,External,,Completed,,Closed
24-0085,05/13/2024,Internal,Conformance to Law,Active,Administrative Closure,Closed
23-0189,09/13/2023,External,Courtesy,Active,Unfounded,Trial Board
23-0246,11/15/2023,External,Punctuality,Active,,Trial Board
24-0044,04/12/2024,Internal,Untruthful Statements,Forwarded,,Charging
24-0027,02/15/2024,External,Neglect of Duty/Unsatisfactory Performance,Forwarded,,Trial Board
24-0026,02/14/2024,Internal,Conduct Unbecoming,Active,,Charging
24-0164,08/08/2024,External,,Completed,,Closed
24-0093,05/20/2024,Internal,Discrim/Harassment/Use of Derogatory Language,Completed,Administrative Closure,Closed
24-0012,01/25/2024,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,Corrective Action taken-Intake/CLI
24-0044,04/12/2024,Internal,Secondary Employment,Forwarded,,Charging
24-0034,02/27/2024,Internal,Discrim/Harassment/Use of Derogatory Language,Completed,Administrative Closure,Closed
24-0027,02/15/2024,External,Conduct Unbecoming,Forwarded,,Trial Board
23-0174,09/11/2023,External,,Completed,,Closed
23-0172,09/11/2023,External,,Completed,,Closed
23-0017,02/15/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0141,08/08/2023,External,Courtesy,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0017,02/15/2023,Internal,Maintenance of Property,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0017,02/15/2023,Internal,Conformance to Law,Completed,No Corrective Action Tak,Corrective Action Taken-Intake
23-0135,07/28/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
23-0134,07/28/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,Corrective Action Taken-Intake
24-0031,02/20/2024,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0134,07/28/2023,External,Conformance to Law,Completed,Corrective Action Taken,Corrective Action Taken-Intake
23-0135,07/28/2023,External,Conformance to Law,Completed,No Corrective Action Tak,Closed
23-0133,07/28/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
23-0156,08/23/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,Closed
21-0175,09/28/2021,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,Ultimate Discipline
24-0027,02/15/2024,External,Conformance to Law,Forwarded,,Trial Board
23-0270,12/21/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,Closed
24-0017,01/30/2024,Internal,Neglect of Duty/Unsatisfactory Performance,Active,,Charging
23-0222,10/21/2023,External,,Completed,,Closed
23-0163,09/06/2023,External,Conduct Unbecoming,Active,,Trial Board
21-0183,10/04/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
23-0078,05/03/2023,Internal,Punctuality,Completed,Administrative Closure,Closed
24-0235,12/05/2024,External,Conformance to Law,Active,,Investigation
23-0142,08/08/2023,Internal,Use of Force,Active,Exonerated,Trial Board
23-0221,10/21/2023,External,Secondary Employment,Completed,Declined,Closed
23-0142,08/08/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Active,Merged,Trial Board
23-0190,09/13/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0236,10/31/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
24-0026,02/14/2024,Internal,Punctuality,Active,,Charging
23-0235,10/31/2023,External,,Completed,,Closed
23-0231,10/27/2023,External,,Completed,,Closed
23-0233,10/27/2023,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,Closed
23-0079,05/03/2023,Internal,Maintenance of Property,Completed,Sustained,Closed
